Feature-Set;NSHAP-Value
age;0.1514
race;0.0263
sex;-0.0434
hypertension;-0.0034
hyperlipidemia;-0.0067
diabetes;-0.0473
coronary.artery.disease;0.0467
chf;-0.0069
cerebrovascular.disease;0.0043
hepatitis;0.0019
endstage.renal.disease;-0.0014
chronic.kidney.disease;0.0005
asthma;-0.0024
copd;-0.0025
dementia;0.0024
cancer;0.0061
age,race;-0.0407
age,sex;0.0219
age,hypertension;0.0781
age,hyperlipidemia;0.0016
age,diabetes;0.0483
age,coronary.artery.disease;-0.0144
age,chf;0.0155
age,cerebrovascular.disease;0.0016
age,hepatitis;-0.0005
age,endstage.renal.disease;0.0017
age,chronic.kidney.disease;0.0013
age,asthma;0.0023
age,copd;0.0061
age,dementia;0.0083
age,cancer;0.0046
race,sex;0.0026
race,hypertension;-0.0330
race,hyperlipidemia;0.0010
race,diabetes;-0.0216
race,coronary.artery.disease;-0.0109
race,chf;0.0058
race,cerebrovascular.disease;0.0029
race,hepatitis;-0.0002
race,endstage.renal.disease;0.0000
race,chronic.kidney.disease;-0.0001
race,asthma;0.0009
race,copd;0.0031
race,dementia;0.0023
race,cancer;0.0010
sex,hypertension;0.0142
sex,hyperlipidemia;-0.0019
sex,diabetes;-0.0267
sex,coronary.artery.disease;-0.0030
sex,chf;-0.0027
sex,cerebrovascular.disease;-0.0017
sex,hepatitis;-0.0004
sex,endstage.renal.disease;-0.0006
sex,chronic.kidney.disease;0.0013
sex,asthma;0.0009
sex,copd;0.0002
sex,dementia;0.0040
sex,cancer;0.0011
hypertension,hyperlipidemia;-0.0009
hypertension,diabetes;0.0454
hypertension,coronary.artery.disease;-0.0009
hypertension,chf;0.0021
hypertension,cerebrovascular.disease;0.0012
hypertension,hepatitis;0.0012
hypertension,endstage.renal.disease;0.0005
hypertension,chronic.kidney.disease;-0.0002
hypertension,asthma;0.0001
hypertension,copd;0.0018
hypertension,dementia;-0.0045
hypertension,cancer;-0.0004
hyperlipidemia,diabetes;0.0024
hyperlipidemia,coronary.artery.disease;0.0106
hyperlipidemia,chf;-0.0023
hyperlipidemia,cerebrovascular.disease;0.0006
hyperlipidemia,hepatitis;-0.0004
hyperlipidemia,endstage.renal.disease;0.0004
hyperlipidemia,chronic.kidney.disease;-0.0018
hyperlipidemia,asthma;0.0016
hyperlipidemia,copd;0.0013
hyperlipidemia,dementia;-0.0015
hyperlipidemia,cancer;0.0011
diabetes,coronary.artery.disease;-0.0050
diabetes,chf;-0.0082
diabetes,cerebrovascular.disease;-0.0019
diabetes,hepatitis;0.0001
diabetes,endstage.renal.disease;0.0001
diabetes,chronic.kidney.disease;-0.0025
diabetes,asthma;-0.0006
diabetes,copd;0.0002
diabetes,dementia;-0.0021
diabetes,cancer;0.0009
coronary.artery.disease,chf;0.0101
coronary.artery.disease,cerebrovascular.disease;0.0012
coronary.artery.disease,hepatitis;0.0006
coronary.artery.disease,endstage.renal.disease;0.0005
coronary.artery.disease,chronic.kidney.disease;0.0029
coronary.artery.disease,asthma;0.0016
coronary.artery.disease,copd;0.0029
coronary.artery.disease,dementia;-0.0015
coronary.artery.disease,cancer;0.0029
chf,cerebrovascular.disease;-0.0006
chf,hepatitis;-0.0002
chf,endstage.renal.disease;-0.0003
chf,chronic.kidney.disease;-0.0018
chf,asthma;-0.0007
chf,copd;-0.0002
chf,dementia;-0.0015
chf,cancer;0.0007
cerebrovascular.disease,hepatitis;0.0002
cerebrovascular.disease,endstage.renal.disease;0.0003
cerebrovascular.disease,chronic.kidney.disease;0.0005
cerebrovascular.disease,asthma;0.0001
cerebrovascular.disease,copd;0.0004
cerebrovascular.disease,dementia;-0.0003
cerebrovascular.disease,cancer;0.0001
hepatitis,endstage.renal.disease;-0.0001
hepatitis,chronic.kidney.disease;0.0001
hepatitis,asthma;-0.0001
hepatitis,copd;0.0001
hepatitis,dementia;-0.0002
hepatitis,cancer;0.0001
endstage.renal.disease,chronic.kidney.disease;0.0008
endstage.renal.disease,asthma;0.0002
endstage.renal.disease,copd;0.0001
endstage.renal.disease,dementia;-0.0003
endstage.renal.disease,cancer;0.0002
chronic.kidney.disease,asthma;-0.0007
chronic.kidney.disease,copd;-0.0009
chronic.kidney.disease,dementia;-0.0001
chronic.kidney.disease,cancer;-0.0005
asthma,copd;0.0025
asthma,dementia;-0.0001
asthma,cancer;0.0002
copd,dementia;-0.0009
copd,cancer;-0.0003
dementia,cancer;-0.0008
age,race,sex;0.0044
age,race,hypertension;0.0746
age,race,hyperlipidemia;0.0085
age,race,diabetes;0.0646
age,race,coronary.artery.disease;-0.0169
age,race,chf;-0.0006
age,race,cerebrovascular.disease;-0.0038
age,race,hepatitis;-0.0006
age,race,endstage.renal.disease;-0.0002
age,race,chronic.kidney.disease;-0.0030
age,race,asthma;-0.0001
age,race,copd;-0.0022
age,race,dementia;-0.0011
age,race,cancer;-0.0024
age,sex,hypertension;0.0064
age,sex,hyperlipidemia;0.0095
age,sex,diabetes;0.0245
age,sex,coronary.artery.disease;-0.0071
age,sex,chf;0.0091
age,sex,cerebrovascular.disease;0.0001
age,sex,hepatitis;0.0003
age,sex,endstage.renal.disease;0.0011
age,sex,chronic.kidney.disease;-0.0013
age,sex,asthma;0.0009
age,sex,copd;-0.0003
age,sex,dementia;-0.0080
age,sex,cancer;0.0000
age,hypertension,hyperlipidemia;0.0032
age,hypertension,diabetes;-0.0229
age,hypertension,coronary.artery.disease;0.0129
age,hypertension,chf;0.0033
age,hypertension,cerebrovascular.disease;0.0003
age,hypertension,hepatitis;0.0003
age,hypertension,endstage.renal.disease;0.0022
age,hypertension,chronic.kidney.disease;0.0001
age,hypertension,asthma;0.0030
age,hypertension,copd;0.0004
age,hypertension,dementia;0.0027
age,hypertension,cancer;0.0032
age,hyperlipidemia,diabetes;-0.0031
age,hyperlipidemia,coronary.artery.disease;0.0362
age,hyperlipidemia,chf;-0.0014
age,hyperlipidemia,cerebrovascular.disease;-0.0013
age,hyperlipidemia,hepatitis;0.0002
age,hyperlipidemia,endstage.renal.disease;-0.0001
age,hyperlipidemia,chronic.kidney.disease;0.0015
age,hyperlipidemia,asthma;-0.0010
age,hyperlipidemia,copd;-0.0011
age,hyperlipidemia,dementia;0.0009
age,hyperlipidemia,cancer;-0.0004
age,diabetes,coronary.artery.disease;0.0040
age,diabetes,chf;0.0074
age,diabetes,cerebrovascular.disease;0.0009
age,diabetes,hepatitis;0.0006
age,diabetes,endstage.renal.disease;0.0019
age,diabetes,chronic.kidney.disease;0.0008
age,diabetes,asthma;0.0021
age,diabetes,copd;0.0015
age,diabetes,dementia;-0.0050
age,diabetes,cancer;-0.0045
age,coronary.artery.disease,chf;0.0008
age,coronary.artery.disease,cerebrovascular.disease;-0.0007
age,coronary.artery.disease,hepatitis;-0.0001
age,coronary.artery.disease,endstage.renal.disease;-0.0014
age,coronary.artery.disease,chronic.kidney.disease;-0.0032
age,coronary.artery.disease,asthma;-0.0009
age,coronary.artery.disease,copd;-0.0042
age,coronary.artery.disease,dementia;0.0021
age,coronary.artery.disease,cancer;0.0011
age,chf,cerebrovascular.disease;0.0017
age,chf,hepatitis;0.0003
age,chf,endstage.renal.disease;-0.0004
age,chf,chronic.kidney.disease;0.0022
age,chf,asthma;0.0015
age,chf,copd;-0.0006
age,chf,dementia;0.0026
age,chf,cancer;0.0009
age,cerebrovascular.disease,hepatitis;-0.0001
age,cerebrovascular.disease,endstage.renal.disease;-0.0002
age,cerebrovascular.disease,chronic.kidney.disease;-0.0001
age,cerebrovascular.disease,asthma;-0.0001
age,cerebrovascular.disease,copd;0.0000
age,cerebrovascular.disease,dementia;0.0012
age,cerebrovascular.disease,cancer;0.0002
age,hepatitis,endstage.renal.disease;0.0000
age,hepatitis,chronic.kidney.disease;-0.0000
age,hepatitis,asthma;0.0002
age,hepatitis,copd;-0.0001
age,hepatitis,dementia;0.0002
age,hepatitis,cancer;0.0001
age,endstage.renal.disease,chronic.kidney.disease;0.0001
age,endstage.renal.disease,asthma;-0.0001
age,endstage.renal.disease,copd;-0.0001
age,endstage.renal.disease,dementia;0.0001
age,endstage.renal.disease,cancer;-0.0003
age,chronic.kidney.disease,asthma;0.0003
age,chronic.kidney.disease,copd;0.0007
age,chronic.kidney.disease,dementia;0.0002
age,chronic.kidney.disease,cancer;0.0000
age,asthma,copd;-0.0011
age,asthma,dementia;0.0002
age,asthma,cancer;0.0003
age,copd,dementia;0.0009
age,copd,cancer;0.0009
age,dementia,cancer;0.0006
race,sex,hypertension;-0.0131
race,sex,hyperlipidemia;0.0057
race,sex,diabetes;0.0063
race,sex,coronary.artery.disease;0.0016
race,sex,chf;0.0035
race,sex,cerebrovascular.disease;-0.0034
race,sex,hepatitis;0.0001
race,sex,endstage.renal.disease;0.0000
race,sex,chronic.kidney.disease;-0.0013
race,sex,asthma;-0.0014
race,sex,copd;0.0002
race,sex,dementia;-0.0032
race,sex,cancer;0.0011
race,hypertension,hyperlipidemia;0.0003
race,hypertension,diabetes;0.0268
race,hypertension,coronary.artery.disease;-0.0072
race,hypertension,chf;-0.0009
race,hypertension,cerebrovascular.disease;0.0001
race,hypertension,hepatitis;-0.0013
race,hypertension,endstage.renal.disease;0.0000
race,hypertension,chronic.kidney.disease;-0.0008
race,hypertension,asthma;0.0004
race,hypertension,copd;-0.0011
race,hypertension,dementia;-0.0014
race,hypertension,cancer;0.0015
race,hyperlipidemia,diabetes;0.0001
race,hyperlipidemia,coronary.artery.disease;-0.0079
race,hyperlipidemia,chf;-0.0035
race,hyperlipidemia,cerebrovascular.disease;-0.0008
race,hyperlipidemia,hepatitis;0.0002
race,hyperlipidemia,endstage.renal.disease;0.0005
race,hyperlipidemia,chronic.kidney.disease;0.0005
race,hyperlipidemia,asthma;-0.0002
race,hyperlipidemia,copd;-0.0002
race,hyperlipidemia,dementia;-0.0013
race,hyperlipidemia,cancer;0.0001
race,diabetes,coronary.artery.disease;-0.0132
race,diabetes,chf;0.0021
race,diabetes,cerebrovascular.disease;-0.0005
race,diabetes,hepatitis;-0.0005
race,diabetes,endstage.renal.disease;-0.0009
race,diabetes,chronic.kidney.disease;-0.0004
race,diabetes,asthma;0.0011
race,diabetes,copd;-0.0015
race,diabetes,dementia;0.0004
race,diabetes,cancer;-0.0018
race,coronary.artery.disease,chf;-0.0094
race,coronary.artery.disease,cerebrovascular.disease;-0.0021
race,coronary.artery.disease,hepatitis;-0.0001
race,coronary.artery.disease,endstage.renal.disease;-0.0002
race,coronary.artery.disease,chronic.kidney.disease;-0.0010
race,coronary.artery.disease,asthma;-0.0024
race,coronary.artery.disease,copd;-0.0026
race,coronary.artery.disease,dementia;-0.0038
race,coronary.artery.disease,cancer;-0.0031
race,chf,cerebrovascular.disease;-0.0001
race,chf,hepatitis;0.0000
race,chf,endstage.renal.disease;0.0014
race,chf,chronic.kidney.disease;-0.0008
race,chf,asthma;-0.0004
race,chf,copd;0.0005
race,chf,dementia;-0.0001
race,chf,cancer;0.0005
race,cerebrovascular.disease,hepatitis;-0.0000
race,cerebrovascular.disease,endstage.renal.disease;0.0001
race,cerebrovascular.disease,chronic.kidney.disease;-0.0004
race,cerebrovascular.disease,asthma;-0.0001
race,cerebrovascular.disease,copd;0.0002
race,cerebrovascular.disease,dementia;0.0005
race,cerebrovascular.disease,cancer;0.0001
race,hepatitis,endstage.renal.disease;0.0001
race,hepatitis,chronic.kidney.disease;-0.0000
race,hepatitis,asthma;0.0001
race,hepatitis,copd;0.0000
race,hepatitis,dementia;0.0001
race,hepatitis,cancer;0.0001
race,endstage.renal.disease,chronic.kidney.disease;-0.0004
race,endstage.renal.disease,asthma;0.0001
race,endstage.renal.disease,copd;-0.0000
race,endstage.renal.disease,dementia;0.0001
race,endstage.renal.disease,cancer;0.0001
race,chronic.kidney.disease,asthma;0.0001
race,chronic.kidney.disease,copd;0.0002
race,chronic.kidney.disease,dementia;0.0001
race,chronic.kidney.disease,cancer;0.0004
race,asthma,copd;0.0001
race,asthma,dementia;0.0001
race,asthma,cancer;-0.0001
race,copd,dementia;0.0001
race,copd,cancer;0.0006
race,dementia,cancer;0.0006
sex,hypertension,hyperlipidemia;0.0002
sex,hypertension,diabetes;-0.0017
sex,hypertension,coronary.artery.disease;0.0007
sex,hypertension,chf;-0.0001
sex,hypertension,cerebrovascular.disease;0.0007
sex,hypertension,hepatitis;-0.0003
sex,hypertension,endstage.renal.disease;-0.0000
sex,hypertension,chronic.kidney.disease;0.0001
sex,hypertension,asthma;0.0006
sex,hypertension,copd;0.0006
sex,hypertension,dementia;0.0011
sex,hypertension,cancer;-0.0008
sex,hyperlipidemia,diabetes;-0.0050
sex,hyperlipidemia,coronary.artery.disease;-0.0064
sex,hyperlipidemia,chf;0.0009
sex,hyperlipidemia,cerebrovascular.disease;-0.0002
sex,hyperlipidemia,hepatitis;-0.0000
sex,hyperlipidemia,endstage.renal.disease;0.0002
sex,hyperlipidemia,chronic.kidney.disease;-0.0014
sex,hyperlipidemia,asthma;-0.0008
sex,hyperlipidemia,copd;0.0011
sex,hyperlipidemia,dementia;0.0006
sex,hyperlipidemia,cancer;0.0004
sex,diabetes,coronary.artery.disease;-0.0036
sex,diabetes,chf;-0.0009
sex,diabetes,cerebrovascular.disease;0.0004
sex,diabetes,hepatitis;-0.0003
sex,diabetes,endstage.renal.disease;-0.0003
sex,diabetes,chronic.kidney.disease;0.0001
sex,diabetes,asthma;-0.0000
sex,diabetes,copd;-0.0017
sex,diabetes,dementia;-0.0088
sex,diabetes,cancer;-0.0043
sex,coronary.artery.disease,chf;0.0030
sex,coronary.artery.disease,cerebrovascular.disease;-0.0005
sex,coronary.artery.disease,hepatitis;-0.0001
sex,coronary.artery.disease,endstage.renal.disease;-0.0005
sex,coronary.artery.disease,chronic.kidney.disease;-0.0012
sex,coronary.artery.disease,asthma;0.0002
sex,coronary.artery.disease,copd;-0.0005
sex,coronary.artery.disease,dementia;-0.0004
sex,coronary.artery.disease,cancer;-0.0022
sex,chf,cerebrovascular.disease;-0.0003
sex,chf,hepatitis;0.0002
sex,chf,endstage.renal.disease;-0.0003
sex,chf,chronic.kidney.disease;0.0002
